category,intent,instruction,flags
ORDER,cancel_order,I can't afford purchase {{Order Number}},BLN
ORDER,cancel_order,"I would like to cancel purchase {{Order Number}}, I need help",BCLP
ORDER,cancel_order,i do not know how to cancel order {{Order Number}},BEQ
ORDER,cancel_order,help with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i want help cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,"I can no longer afford order {{Order Number}}, help me cancel it",BCLN
ORDER,cancel_order,need assistance canceling order {{Order Number}},BQ
ORDER,cancel_order,I have problems with cancelling purchase {{Order Number}},BLM
ORDER,cancel_order,I want assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,would it be possible to cancel purchase {{Order Number}},BILPQ
ORDER,cancel_order,could you help me canceling purchase {{Order Number}}?,BILP
ORDER,cancel_order,I want help to cancel purchase {{Order Number}},BL
ORDER,cancel_order,help with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,assistance with canceling purchase {{Order Number}},BL
ORDER,cancel_order,cance order {{Order Number}},BZ
ORDER,cancel_order,can uhelp me cancelling purchase {{Order Number}},BILQ
ORDER,cancel_order,how could icancel purchase {{Order Number}},BILPQZ
ORDER,cancel_order,i need assistance canceling order {{Order Number}},BQ
ORDER,cancel_order,i do not knwo how to cancel order {{Order Number}},BEQZ
ORDER,cancel_order,"I have ordered some article, cancel purchase {{Order Number}}",BCELV
ORDER,cancel_order,need to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,have problems with canceling purchase {{Order Number}},BLMQ
ORDER,cancel_order,i no longer want purchase  {{Order Number}},BLNQZ
ORDER,cancel_order,want help to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,question about canceling order {{Order Number}},B
ORDER,cancel_order,is it possible to cancel purchase {{Order Number}} ?,BILZ
ORDER,cancel_order,have a question about cancelling order {{Order Number}},BQ
ORDER,cancel_order,I need assistance to cancel purchase {{Order Number}},BL
ORDER,cancel_order,I need assistance cancelling purchase {{Order Number}},BL
ORDER,cancel_order,help with canceling purchase {{Order Number}},BL
ORDER,cancel_order,I need help with canceling purchase {{Order Number}},BL
ORDER,cancel_order,iwant assistance canceling order {{Order Number}},BQZ
ORDER,cancel_order,have problems with canceling order  {{Order Number}},BMQZ
ORDER,cancel_order,i wan help to cancel purchase {{Order Number}},BLQZ
ORDER,cancel_order,i need help cancelling puchase {{Order Number}},BLQZ
ORDER,cancel_order,I can no longer afford order {{Order Number}},BLN
ORDER,cancel_order,"I have got to cancel purchase {{Order Number}}, how do I do it?",BCIL
ORDER,cancel_order,i need help with canceling order {{Order Number}},BQ
ORDER,cancel_order,cancel purchase {{Order Number}},BKL
ORDER,cancel_order,assistance with canceling oreder {{Order Number}},BZ
ORDER,cancel_order,problems with cancelling purchase {{Order Number}},BLM
ORDER,cancel_order,is it possible to cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,I need assistance cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i do not know how to cancel order {{Order Number}},BEQ
ORDER,cancel_order,I no longer want purchase {{Order Number}},BLN
ORDER,cancel_order,can you help me cancelling purchase {{Order Number}}?,BIL
ORDER,cancel_order,assistance cancelling purchase {{Order Number}},BL
ORDER,cancel_order,I need help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,I don't want purchase {{Order Number}},BLN
ORDER,cancel_order,"I bought some items, I need help to cancel purchase {{Order Number}}",BCLM
ORDER,cancel_order,could you help me cancel purchase {{Order Number}}?,BILP
ORDER,cancel_order,cancel purchase {{Order Number}},BKL
ORDER,cancel_order,problem with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,cancel purchase {{Order Number}},BKL
ORDER,cancel_order,where do i cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,need help with cancelliing order {{Order Number}},BQZ
ORDER,cancel_order,I have problems with canceling purchase {{Order Number}},BLM
ORDER,cancel_order,is it possible to cancel order {{Order Number}}?,BI
ORDER,cancel_order,i havegot to cancel purchase {{Order Number}},BLQZ
ORDER,cancel_order,"I cannot pay for this product, cancel order {{Order Number}}",BCELN
ORDER,cancel_order,I don't know how I can cancel purchase {{Order Number}},BL
ORDER,cancel_order,help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,would you give me information about cancelling orders?,BIMP
ORDER,cancel_order,I need assistance with canceling purchase {{Order Number}},BL
ORDER,cancel_order,canceling purchase {{Order Number}},BKL
ORDER,cancel_order,"I can't afford my last item, cancel purchase {{Order Number}}",BCLN
ORDER,cancel_order,I cannot afford order {{Order Number}},BELN
ORDER,cancel_order,have problems with canceling purchase {{Order Number}},BLMQ
ORDER,cancel_order,I have a problem with canceling purchase {{Order Number}},BL
ORDER,cancel_order,question about canceling purchase {{Order Number}},BL
ORDER,cancel_order,I have got to cancel purchase {{Order Number}},BL
ORDER,cancel_order,"I can't afford order {{Order Number}}, could I cancel it?",BCILNP
ORDER,cancel_order,i dont know how to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,"I don't want this item, help me cancel purchase {{Order Number}}",BCLN
ORDER,cancel_order,i need assistance with canceling order {{Order Number}},BQ
ORDER,cancel_order,have a problem with cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,"I can't afford this product, cancel order {{Order Number}}",BCLN
ORDER,cancel_order,cancel purchase  {{Order Number}},BLZ
ORDER,cancel_order,could you help me canceling purchase {{Order Number}}?,BILP
ORDER,cancel_order,i try to cancel order {{Order Number}},BQ
ORDER,cancel_order,can you help me cancelling order {{Order Number}}?,BI
ORDER,cancel_order,what do I ned to do to cancel order {{Order Number}}?,BIZ
ORDER,cancel_order,i need help to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,"I have bought some items, help canceling purchase {{Order Number}}",BCELMVZ
ORDER,cancel_order,I need assistance canceling order {{Order Number}},B
ORDER,cancel_order,I can't afford purchase {{Order Number}},BLN
ORDER,cancel_order,assistance with canceling purchase {{Order Number}},BL
ORDER,cancel_order,canmcel order {{Order Number}},BKZ
ORDER,cancel_order,help with canceling purchase {{Order Number}},BL
ORDER,cancel_order,I need help to cancel purchase {{Order Number}},BL
ORDER,cancel_order,i can no longer afford order {{Order Number}},BLNQ
ORDER,cancel_order,I can no longer pay for order {{Order Number}},BLN
ORDER,cancel_order,i have problems with canceling order {{Order Number}},BMQ
ORDER,cancel_order,I have problems with cancelling order {{Order Number}},BM
ORDER,cancel_order,"I purchased some item, help canceling one of the orders",BCLM
ORDER,cancel_order,I need helpto cancel order {{Order Number}},BZ
ORDER,cancel_order,camceling order {{Order Number}},BKZ
ORDER,cancel_order,i purchased some fucking item cancel order {{Order Number}},BCLQW
ORDER,cancel_order,want assistance to cancel pyrchase {{Order Number}},BLQZ
ORDER,cancel_order,i need assistance to cancel order {{Order Number}},BQ
ORDER,cancel_order,i need help with canceling order {{Order Number}},BQ
ORDER,cancel_order,cancelling order {{Order Number}},BK
ORDER,cancel_order,"I have ordered some item, cancel purchase {{Order Number}}",BCELV
ORDER,cancel_order,i can no longer pay for purchase {{Order Number}},BLNQ
ORDER,cancel_order,I need assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,"I do not want this item, cancel order {{Order Number}}",BCELN
ORDER,cancel_order,i need assistance cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,ened help with cancelling purchase {{Order Number}},BLQZ
ORDER,cancel_order,I need assistance cancelling order {{Order Number}},B
ORDER,cancel_order,can ya help me cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,want assistance cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,need help with canceling order {{Order Number}},BQ
ORDER,cancel_order,I can no longer pay for purchase {{Order Number}},BLN
ORDER,cancel_order,want assistance canceling order {{Order Number}},BQ
ORDER,cancel_order,is it possible to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,cance order {{Order Number}},BZ
ORDER,cancel_order,assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,what do I need to do to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I want help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i have a problem with cancelling order {{Order Number}},BQ
ORDER,cancel_order,i cant pay for order {{Order Number}},BNQ
ORDER,cancel_order,can you help me cancelling order {{Order Number}}?,BI
ORDER,cancel_order,I need help to cancel purchase {{Order Number}},BL
ORDER,cancel_order,I have a problem with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,canceling purechase {{Order Number}},BKLZ
ORDER,cancel_order,I need help cancelling order {{Order Number}},B
ORDER,cancel_order,I dp not know how to cancel order {{Order Number}},BEZ
ORDER,cancel_order,what do I need to do to cancel order {{Order Number}}?,BI
ORDER,cancel_order,i dont know what to do to cancel order {{Order Number}},BQ
ORDER,cancel_order,cancel order {{Order Number}},BK
ORDER,cancel_order,is it possible to cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,I am trying to cancel order {{Order Number}},B
ORDER,cancel_order,I need help with cancellng order {{Order Number}},BZ
ORDER,cancel_order,help canceling purchase {{Order Number}},BL
ORDER,cancel_order,I want help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,I want help cancellkng purchase {{Order Number}},BLZ
ORDER,cancel_order,"I can't afford order {{Order Number}}, help me cancelling it",BCLN
ORDER,cancel_order,I need assistance to cancel order {{Order Number}},B
ORDER,cancel_order,I have a problem with cancelling order {{Order Number}},B
ORDER,cancel_order,assistance canceling the last order,B
ORDER,cancel_order,assistance to cancel order {{Order Number}},B
ORDER,cancel_order,"I don't want this product, cancel purchase {{Order Number}}",BCLN
ORDER,cancel_order,assistance cancelling purchase {{Order Number}},BL
ORDER,cancel_order,I cannot afford order {{Order Number}},BELN
ORDER,cancel_order,problems with cancelling order {{Order Number}},BM
ORDER,cancel_order,need help canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,i can no longer afford purchase {{Order Number}},BLNQ
ORDER,cancel_order,I need help with canceling purchase {{Order Number}},BL
ORDER,cancel_order,how could I cancel purchase {{Order Number}}?,BILP
ORDER,cancel_order,i want help canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,asistance cancelling purchase {{Order Number}},BLZ
ORDER,cancel_order,I need assistance to cancel order {{Order Number}},B
ORDER,cancel_order,i need help cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,I do not know what to do tro cancel order {{Order Number}},BEZ
ORDER,cancel_order,I need assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,cancelling purchase {{Order Number}},BKL
ORDER,cancel_order,want help cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,help with canceling purchase {{Order Number}},BL
ORDER,cancel_order,I don't know how I colud cancel order {{Order Number}},BPZ
ORDER,cancel_order,where can i cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,help me cancel purchase {{Order Number}},BL
ORDER,cancel_order,can you help me cancelong purchase {{Order Number}}?,BILZ
ORDER,cancel_order,i dont know what to do to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,i have problems with canceling order {{Order Number}},BMQ
ORDER,cancel_order,I want to cancel order {{Order Number}},B
ORDER,cancel_order,"I can't afford order {{Order Number}}, could you cancel it?",BCILNP
ORDER,cancel_order,i want assistance cancelling order {{Order Number}},BQ
ORDER,cancel_order,i want help to cancel order {{Order Number}},BQ
ORDER,cancel_order,what do I need to do to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,i want help cancelling order {{Order Number}},BQ
ORDER,cancel_order,I do not know how to cancel purchase {{Order Number}},BEL
ORDER,cancel_order,"I cannot afford my last item, how can I cancel the order?",BCEILN
ORDER,cancel_order,"I don't want this item, cancel order {{Order Number}}",BCLN
ORDER,cancel_order,I no longer want order {{Order Number}},BLN
ORDER,cancel_order,can you help me to cancel order {{Order Number}}?,BI
ORDER,cancel_order,cancelling order {{Order Number}},BK
ORDER,cancel_order,"I do not want this item, I try to cancel order {{Order Number}}",BCELN
ORDER,cancel_order,what do I have to do to cancel order {{Order Number}}?,BI
ORDER,cancel_order,I can no longer afford order {{Order Number}},BLN
ORDER,cancel_order,I need help canceling order {{Order Number}},B
ORDER,cancel_order,I have problems with canceling purchase {{Order Number}},BLM
ORDER,cancel_order,i want help canceling order {{Order Number}},BQ
ORDER,cancel_order,help with canceling purchase {{Order Number}},BL
ORDER,cancel_order,I don't know how to cancel purchase {{Order Number}},BL
ORDER,cancel_order,"I do not want my last bloody item, cancel order {{Order Number}}",BCELNW
ORDER,cancel_order,can ya help me to cancel order {{Order Number}},BIQ
ORDER,cancel_order,i dont want order {{Order Number}},BNQ
ORDER,cancel_order,could you help me to cancel purchase {{Order Number}}?,BILP
ORDER,cancel_order,have problems wth cancelling order {{Order Number}},BMQZ
ORDER,cancel_order,I need help with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i dont want this artilce cancel order {{Order Number}},BCLNQZ
ORDER,cancel_order,I cannot afford order {{Order Number}},BELN
ORDER,cancel_order,need help with canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,I try to cancel purchase {{Order Number}},BL
ORDER,cancel_order,"I bought some article, help canceling order {{Order Number}}",BCL
ORDER,cancel_order,can you help me cancelling oredr {{Order Number}}?,BIZ
ORDER,cancel_order,help  with cancelling order {{Order Number}},BZ
ORDER,cancel_order,assistance to cancel purchase {{Order Number}},BL
ORDER,cancel_order,help to cancel purchase {{Order Number}},BL
ORDER,cancel_order,can you help me cancelling order {{Order Number}}?,BI
ORDER,cancel_order,i dont want purchase {{Order Number}},BLNQ
ORDER,cancel_order,canmcel order {{Order Number}},BKZ
ORDER,cancel_order,help cancelling my bloody purchase,BLW
ORDER,cancel_order,assistance cancelling purchase {{Order Number}},BL
ORDER,cancel_order,can you help me to cancel order {{Order Number}} ?,BIZ
ORDER,cancel_order,I need assistance with canceling purchase {{Order Number}},BL
ORDER,cancel_order,is it possible to cancel purchase {{Order Number}},BILQ
ORDER,cancel_order,canceling order,BK
ORDER,cancel_order,problems with cancelling order {{Order Number}},BM
ORDER,cancel_order,what do I have to do to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I need assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,I want help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i want help canceling order {{Order Number}},BQ
ORDER,cancel_order,I want assistance to cancle purchase {{Order Number}},BLZ
ORDER,cancel_order,i do not know how to cancel purchasw {{Order Number}},BELQZ
ORDER,cancel_order,question about cancelling purchase {{Order Number}},BL
ORDER,cancel_order,help me cancel purchase {{Order Number}},BL
ORDER,cancel_order,i dont want purchase {{Order Number}} could i cancel it,BCILNPQ
ORDER,cancel_order,i obught some item help me canceling order {{Order Number}},BCLQZ
ORDER,cancel_order,I'm trying to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,problems with canceling purchase {{Order Number}},BLM
ORDER,cancel_order,cancelling order {{Order Number}},BK
ORDER,cancel_order,canceling purchase {{Order Number}},BKL
ORDER,cancel_order,i dont khow how to cancel order {{Order Number}},BQZ
ORDER,cancel_order,I need assistance cancelling order {{Order Number}},B
ORDER,cancel_order,how can I cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I can no longer afford purchase {{Order Number}},BLN
ORDER,cancel_order,I want help to cancle purchase {{Order Number}},BLZ
ORDER,cancel_order,I can't afford order {{Order Number}},BLN
ORDER,cancel_order,canmcel order {{Order Number}},BKZ
ORDER,cancel_order,help me canceling purchase {{Order Number}},BL
ORDER,cancel_order,I try to cancel purchase {{Order Number}},BL
ORDER,cancel_order,I don't want purchase {{Order Number}},BLN
ORDER,cancel_order,I need help with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,I have got to cancel purcahse {{Order Number}},BLZ
ORDER,cancel_order,help me to cancel purchase {{Order Number}},BL
ORDER,cancel_order,I need help cancelling oredr {{Order Number}},BZ
ORDER,cancel_order,help me canceling purchase {{Order Number}},BL
ORDER,cancel_order,i want help canceling order {{Order Number}},BQ
ORDER,cancel_order,I need help to cancel order {{Order Number}},B
ORDER,cancel_order,I want assistance to cancel purchase {{Order Number}},BL
ORDER,cancel_order,I don't know how I can cancel purchase {{Order Number}},BL
ORDER,cancel_order,cance order {{Order Number}},BZ
ORDER,cancel_order,problems with cancelling purchase {{Order Number}},BLM
ORDER,cancel_order,need assistance to cancel order {{Order Number}},BQ
ORDER,cancel_order,I no longerr want purchase {{Order Number}},BLNZ
ORDER,cancel_order,I need assistance canceling order {{Order Number}},B
ORDER,cancel_order,i have to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,i dont want order {{Order Number}},BNQ
ORDER,cancel_order,I need help canceling purchase {{Order Number}},BL
ORDER,cancel_order,i do not know how i can cancel order {{Order Number}},BEQ
ORDER,cancel_order,canceling purchase {{Order Number}},BKL
ORDER,cancel_order,I want assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,assistance with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,problem witth cancelling order {{Order Number}},BZ
ORDER,cancel_order,I want assistance to cancel purchase {{Order Number}},BL
ORDER,cancel_order,"I bought some items, help canceling order {{Order Number}}",BCLM
ORDER,cancel_order,I need assistance with cancelling order {{Order Number}},B
ORDER,cancel_order,I need assistance cancelling purcjase {{Order Number}},BLZ
ORDER,cancel_order,i dont want order {{Order Number}},BNQ
ORDER,cancel_order,I can no longer afford purchase {{Order Number}},BLN
ORDER,cancel_order,what do i need to do to cancel order {{Order Number}},BIQ
ORDER,cancel_order,I need assistance canceling purchase {{Order Number}},BL
ORDER,cancel_order,i need assistance with canceling order {{Order Number}},BQ
ORDER,cancel_order,I can't pay for purchase {{Order Number}},BLN
ORDER,cancel_order,I do not want purchase {{Order Number}},BELN
ORDER,cancel_order,cancel purchase732201349959,BKLZ
ORDER,cancel_order,I do not know how I can cancel purchase {{Order Number}},BEL
ORDER,cancel_order,need help with canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,I can no longer pay for purchase {{Order Number}},BLN
ORDER,cancel_order,I need help to cancel purchase370795561790,BLZ
ORDER,cancel_order,I do not know how I can cancel purchase {{Order Number}},BEL
ORDER,cancel_order,I need help canceling purchase {{Order Number}},BL
ORDER,cancel_order,what do I need to do to cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,want assistance cancelling order {{Order Number}},BQ
ORDER,cancel_order,want help cancelling purchase {{Order Number}},BLQ
ORDER,cancel_order,help to cancel purchase {{Order Number}},BL
ORDER,cancel_order,"I can't pay for purchase {{Order Number}}, how can I cancel it?",BCILN
ORDER,cancel_order,want assistance canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,I don't know how to cancel purchase {{Order Number}},BL
ORDER,cancel_order,i dont want ordr {{Order Number}} could uhelp me cancel it,BCINPQZ
ORDER,cancel_order,"I cannot afford order {{Order Number}}, I need help canceling it",BCELN
ORDER,cancel_order,want assistance canceling purchase {{Order Number}},BLQ
ORDER,cancel_order,i do not know how to cancel order {{Order Number}},BEQ
ORDER,cancel_order,I want help canceling order {{Order Number}},B
ORDER,cancel_order,where can I cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I need help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,I need assistance to cancel purchase {{Order Number}},BL
ORDER,cancel_order,can you help me cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,I'm trying to cancel order {{Order Number}},BQ
ORDER,cancel_order,i dont know what to do to cancel purchase {{Order Number}},BLQ
ORDER,cancel_order,I need help cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i can no longer pay fororder {{Order Number}} cancel it,BCLNQZ
ORDER,cancel_order,I don't knowhow to cancel purchase {{Order Number}},BLZ
ORDER,cancel_order,I do not know how I could cancel purchase {{Order Number}},BELP
ORDER,cancel_order,i do not know how i can cancel order {{Order Number}},BEQ
ORDER,cancel_order,I don't know what to do to cancel purchase {{Order Number}},BL
ORDER,cancel_order,cance order {{Order Number}},BZ
ORDER,cancel_order,where can I cancel purchase {{Order Number}}?,BIL
ORDER,cancel_order,assistance with cancelling purchase {{Order Number}},BL
ORDER,cancel_order,i want assistance to cancel order {{Order Number}},BQ
ORDER,cancel_order,I want assistance cancelling order {{Order Number}},B
ORDER,cancel_order,i dont khow how to cancel order {{Order Number}},BQZ
ORDER,cancel_order,i need assistance to cancel order {{Order Number}},BQ
ORDER,cancel_order,problems with canceling purchase {{Order Number}},BLM
ORDER,cancel_order,canceling order {{Order Number}},BK
ORDER,cancel_order,"I can't pay for this item, cancel order {{Order Number}}",BCLN
ORDER,cancel_order,camceling order {{Order Number}},BKZ
ORDER,cancel_order,question about canceling order {{Order Number}},B
ORDER,cancel_order,help me cancel purchase {{Order Number}},BL
ORDER,cancel_order,want assistance cancelling order {{Order Number}},BQ
ORDER,cancel_order,want asistance canceling order {{Order Number}},BQZ
ORDER,cancel_order,i need assiostance cancelling order {{Order Number}},BQZ
ORDER,cancel_order,cancelling purchase {{Order Number}},BKL
ORDER,cancel_order,I am trying to cancel purchaes {{Order Number}},BLZ
ORDER,cancel_order,i need help canceling order {{Order Number}},BQ
